35	0.694852	0.006199	0.70539	0.72281
34	0.695003	0.006189	0.70637	0.72347
33	0.694802	0.005755	0.70406	0.72189
32	0.695638	0.005536	0.70664	0.72065
31	0.695042	0.006183	0.70683	0.72472
30	0.694117	0.005727	0.70583	0.7197
29	0.695294	0.006292	0.705	0.72162
28	0.695692	0.006294	0.70425	0.72245
27	0.694882	0.005953	0.70485	0.72233
26	0.693893	0.005355	0.70476	0.72141
25	0.695437	0.007569	0.70488	0.71911
24	0.694748	0.006247	0.70406	0.72329
23	0.694565	0.006675	0.70601	0.72166
22	0.694957	0.006551	0.70573	0.72411
21	0.695256	0.006422	0.70669	0.72425
20	0.694967	0.005225	0.70568	0.72212
19	0.694801	0.006665	0.70626	0.72379
18	0.694584	0.006117	0.70569	0.721
17	0.694973	0.006495	0.70619	0.72206
16	0.692595	0.00585	0.70648	0.7181
15	0.692936	0.006044	0.70684	0.71782
14	0.692952	0.00605	0.70603	0.71936
13	0.692623	0.006192	0.70705	0.71935
12	0.692785	0.006242	0.70524	0.71805
11	0.692111	0.006602	0.7049	0.72123
10	0.691755	0.006338	0.70577	0.72013
9	0.691721	0.006553	0.70767	0.71913
8	0.691666	0.006478	0.70754	0.7198
7	0.693199	0.006498	0.70406	0.71918
6	0.691941	0.006463	0.70523	0.71945
5	0.692546	0.006059	0.70386	0.71695
4	0.691691	0.005037	0.70453	0.71933
3	0.692227	0.006339	0.70444	0.71875
2	0.691905	0.006448	0.70507	0.71593
1	0.692136	0.006491	0.70448	0.7173
